b1,b2,b3,b4,b5,b6,green_0,green_2p,green_3p,green_4p,green_5p,green_6,red_0,red_2p,red_3p,red_4p,red_5p,red_6,blue_0,blue_2p,blue_3p,blue_4p,blue_5p,blue_6,colours,total
17,7,3,8,25,30,5,0,3,9,104,5716,51,0,2,4,140,1494,6,0,5,31,239,479,222,90
14,13,39,35,24,45,6,0,0,10,105,5717,52,1,3,5,141,1495,7,0,6,32,240,480,132,170
26,46,10,29,9,42,7,0,1,11,106,5718,53,0,4,6,142,1496,8,0,7,33,241,481,222,162
49,14,12,1,36,24,7,0,1,11,106,5718,53,0,4,6,142,1496,8,0,7,33,241,481,131,136
26,32,14,25,33,18,9,0,1,13,108,5720,55,2,6,8,144,1498,10,0,0,35,243,483,123,148
14,5,49,35,47,18,10,1,2,14,109,5721,0,3,7,9,145,1499,11,0,0,0,244,484,014,168
26,42,25,12,29,36,11,0,0,15,110,5722,1,4,8,10,146,1500,12,0,1,1,245,485,132,170
25,32,23,38,4,2,0,1,1,16,111,5723,2,0,9,11,147,1501,13,0,0,0,246,486,204,124
42,17,27,2,29,10,1,0,2,17,112,5724,3,1,10,12,148,1502,14,0,0,1,247,487,123,127
34,35,29,49,8,20,0,1,3,18,113,5725,4,2,11,13,149,1503,15,0,0,0,248,488,104,175
16,33,11,3,34,10,1,0,4,19,114,5726,5,0,0,14,150,1504,16,1,1,1,249,489,321,107
19,9,12,21,10,41,2,0,0,20,115,5727,6,0,1,15,151,1505,17,2,2,2,250,490,231,112
19,18,38,23,9,39,3,0,0,21,116,5728,7,1,2,16,152,1506,18,0,3,3,251,491,132,146
41,7,35,39,23,26,4,1,1,22,117,5729,8,2,3,17,153,1507,19,0,0,0,252,492,114,171
28,41,21,26,14,6,5,0,2,23,118,5730,9,3,4,18,154,1508,20,0,0,1,253,493,123,136
15,23,40,19,49,16,6,1,3,24,119,5731,10,0,0,19,155,1509,21,1,1,2,254,494,311,162
34,48,30,47,18,26,7,0,0,25,120,5732,11,1,1,20,156,1510,22,0,2,3,255,495,132,203
48,14,23,11,45,43,8,0,1,26,121,5733,12,2,2,21,157,1511,23,0,0,4,256,496,123,184
17,12,21,47,3,48,9,0,0,0,122,5734,0,3,3,22,158,1512,24,0,1,5,257,497,042,148
6,4,1,47,20,16,10,1,1,1,123,5735,1,0,0,23,159,1513,25,0,2,6,258,498,312,94
15,45,12,2,6,21,11,0,0,0,0,5736,0,1,1,24,160,1514,26,1,3,7,259,499,051,101
25,30,40,27,48,15,12,0,0,0,1,5737,1,0,2,25,161,1515,0,2,4,8,260,500,240,185
43,18,21,6,42,37,12,0,0,0,1,5737,1,0,2,25,161,1515,0,2,4,8,260,500,240,167
28,42,44,14,32,43,14,1,1,1,3,5739,3,0,4,27,163,1517,1,0,0,10,262,502,213,203
38,46,8,21,13,28,15,2,2,2,4,5740,4,0,0,28,164,1518,2,0,1,11,263,503,312,154
32,4,17,43,26,49,0,3,3,3,5,5741,5,0,1,29,165,1519,3,0,0,12,264,504,203,171
20,17,36,15,18,16,1,0,0,4,6,5742,6,1,2,30,166,1520,4,0,1,13,265,505,132,122
22,45,42,12,35,44,2,0,0,5,7,5743,7,2,3,31,167,1521,5,0,2,14,266,506,132,200
33,31,1,15,39,16,3,0,0,6,8,5744,8,0,0,32,168,1522,0,1,3,15,267,507,330,135
8,34,6,33,13,2,4,0,1,7,9,5745,9,0,1,33,169,1523,1,0,4,16,268,508,222,96
3,46,22,31,19,11,5,1,2,8,10,5746,10,0,0,0,170,1524,2,1,5,17,269,509,411,132
47,3,12,45,21,22,6,0,0,0,11,5747,11,1,1,1,171,1525,3,2,6,18,270,510,141,150
3,39,27,14,49,5,7,0,0,1,12,5748,0,2,2,2,172,1526,4,0,7,19,271,511,032,137
