none_T100,green_T100,red_T100,blue_T100,green_LD,red_LD,blue_LD
26,23,25,26,9,0,3
26,24,24,26,0,1,4
26,24,23,27,1,2,0
26,23,24,27,2,0,1
26,23,24,27,3,1,0
25,23,25,27,4,0,1
26,22,25,27,5,1,2
27,22,25,26,6,2,3
27,23,25,25,0,3,4
27,22,25,26,1,4,0
26,22,26,26,2,0,1
26,21,26,27,3,1,0
26,20,27,27,4,0,1
26,21,27,26,0,1,2
25,22,27,26,0,2,3
25,21,28,26,1,0,4
25,20,28,27,2,1,0
25,20,27,28,3,2,0
25,21,27,27,0,3,1
25,21,27,27,0,4,2
26,21,26,27,1,5,3
26,22,26,26,0,6,4
25,22,26,27,1,7,0
24,22,26,28,2,8,0
24,22,25,29,3,9,0
24,21,25,30,4,10,0
24,21,25,30,5,11,1
25,21,24,30,6,12,2
25,21,23,31,7,13,0
25,21,23,31,8,0,1
25,22,22,31,0,1,2
25,22,22,31,1,0,3
25,22,22,31,2,1,0
25,21,23,31,3,0,1
25,21,23,31,0,1,2
25,22,22,31,0,2,3
25,21,22,32,1,3,0
25,21,22,32,2,4,0
25,21,21,33,3,5,0
25,21,21,33,4,0,1
24,21,22,33,5,0,2
24,21,23,32,6,0,3
24,21,23,32,7,0,4
24,22,23,31,0,1,5
23,22,24,31,1,0,6
24,21,24,31,2,1,7
24,21,25,30,3,0,8
24,21,24,31,4,1,0
23,21,25,31,5,0,1
22,22,25,31,0,1,2
22,23,25,30,0,2,3
22,23,25,30,1,0,4
21,23,25,31,2,1,0
22,23,25,30,3,2,1
22,22,25,31,4,3,0
22,21,25,32,5,4,0
21,21,26,32,6,0,1
21,22,26,31,0,1,2
21,23,26,30,0,2,3
21,23,26,30,1,3,0
21,23,26,30,2,4,0
22,22,26,30,3,5,1
22,22,27,29,4,0,2
23,22,26,29,5,1,3
22,23,26,29,0,2,4
22,23,27,28,1,0,5
21,24,27,28,0,1,6
20,24,28,28,1,0,7
21,24,28,27,2,1,8
22,23,28,27,3,2,9
21,23,29,27,4,0,10
21,22,29,28,5,1,0
20,23,29,28,0,2,1
20,24,29,27,0,3,2
20,24,29,27,0,4,3
19,25,29,27,0,5,4
19,25,29,27,1,6,5
19,25,29,27,2,7,6
19,25,28,28,3,8,0
19,25,29,27,4,0,1
19,25,29,27,0,1,2
19,25,28,28,1,2,0
18,25,28,29,2,3,0
19,25,27,29,3,4,1
20,25,27,28,4,5,2
19,26,27,28,0,6,3
19,25,27,29,1,7,0
18,25,28,29,2,0,1
19,24,28,29,3,1,2
19,24,27,30,4,2,0
19,25,26,30,0,3,1
19,25,26,30,0,4,2
20,25,26,29,1,5,3
20,25,27,28,2,0,4
19,26,27,28,0,1,5
19,27,26,28,0,2,6
19,27,26,28,1,3,7
19,28,26,27,0,4,8
19,28,25,28,1,5,0
18,29,25,28,0,6,1
18,29,24,29,1,7,0
18,29,24,29,0,8,1
18,29,25,28,1,0,2
18,30,24,28,0,1,3
18,31,24,27,0,2,4
19,31,23,27,1,3,5
19,31,23,27,2,4,6
18,31,24,27,3,0,7
