
logo
League 6181	
ResultsLeague Table
LEI	2-1	BOU
MNU	0-3	ARS
WHU	1-1	EVE
FOR	0-0	NWC
BRI	0-2	TOT
ASV	1-1	LIV
WOL	1-0	SOU
CRY	1-0	LEE
WEEK 35   2:56:00
BOU	1-2	BRI
NWC	0-0	LEI
TOT	1-1	WHU
LIV	0-0	CHE
LEE	3-1	WOL
SOU	3-3	ARS
MNC	2-1	CRY
BRN	3-1	ASV
FOR	0-2	MNU
EVE	0-0	FUL
WEEK 36   2:58:00
MNU	2-0	SOU
WHU	1-1	BOU
BRI	0-3	NWC
CHE	2-0	BRN
FUL	0-2	TOT
LEI	0-2	FOR
WOL	1-1	MNC
CRY	2-3	LIV
ARS	0-1	LEE
ASV	1-1	EVE
WEEK 37   3:00:00
TOT	1-1	ASV
LEI	0-2	MNU
LEE	0-3	SOU
NWC	0-3	WHU
FOR	2-3	BRI
LIV	2-0	WOL
EVE	0-3	CHE
BRN	3-2	CRY
MNC	2-1	ARS
BOU	1-2	FUL
WEEK 38   3:02:00
MNU	0-0	LEE
WOL	0-1	BRN
BRI	2-4	LEI
ASV	0-0	BOU
CHE	0-3	TOT
FUL	2-2	NWC
WHU	2-0	FOR
SOU	2-1	MNC
CRY	1-1	EVE
ARS	2-0	LIV
