combination,balance
12002,"(7845, 332, -3935000, (1, 2, 0, 0, 2))"
02012,"(7839, 332, -3965000, (0, 2, 0, 1, 2))"
02102,"(7837, 330, -3715000, (0, 2, 1, 0, 2))"
10202,"(7827, 344, -5585000, (1, 0, 2, 0, 2))"
02120,"(7820, 345, -5750000, (0, 2, 1, 2, 0))"
20210,"(7820, 342, -5360000, (2, 0, 2, 1, 0))"
20120,"(7816, 354, -6940000, (2, 0, 1, 2, 0))"
10022,"(7814, 340, -5130000, (1, 0, 0, 2, 2))"
22001,"(7812, 331, -3970000, (2, 2, 0, 0, 1))"
20021,"(7809, 360, -7755000, (2, 0, 0, 2, 1))"
00212,"(7809, 346, -5935000, (0, 0, 2, 1, 2))"
12020,"(7808, 346, -5940000, (1, 2, 0, 2, 0))"
01022,"(7808, 332, -4120000, (0, 1, 0, 2, 2))"
01202,"(7804, 351, -6610000, (0, 1, 2, 0, 2))"
21020,"(7794, 364, -8350000, (2, 1, 0, 2, 0))"
02021,"(7792, 363, -8230000, (0, 2, 0, 2, 1))"
02210,"(7788, 335, -4610000, (0, 2, 2, 1, 0))"
22100,"(7785, 333, -4365000, (2, 2, 1, 0, 0))"
10220,"(7783, 357, -7495000, (1, 0, 2, 2, 0))"
22010,"(7779, 348, -6345000, (2, 2, 0, 1, 0))"
00122,"(7778, 337, -4920000, (0, 0, 1, 2, 2))"
00030,"(7778, 320, -2710000, (0, 0, 0, 3, 0))"
00221,"(7776, 344, -5840000, (0, 0, 2, 2, 1))"
00300,"(7775, 326, -3505000, (0, 0, 3, 0, 0))"
02201,"(7765, 358, -7715000, (0, 2, 2, 0, 1))"
00003,"(7760, 336, -4880000, (0, 0, 0, 0, 3))"
21012,"(7757, 329, -3985000, (2, 1, 0, 1, 2))"
01220,"(7751, 365, -8695000, (0, 1, 2, 2, 0))"
12200,"(7738, 377, -10320000, (1, 2, 2, 0, 0))"
03000,"(7735, 368, -9165000, (0, 3, 0, 0, 0))"
30000,"(7735, 367, -9035000, (3, 0, 0, 0, 0))"
21201,"(7730, 292, 690000, (2, 1, 2, 0, 1))"
21102,"(7729, 341, -5685000, (2, 1, 1, 0, 2))"
20112,"(7723, 354, -7405000, (2, 0, 1, 1, 2))"
12012,"(7714, 332, -4590000, (1, 2, 0, 1, 2))"
10212,"(7704, 337, -5290000, (1, 0, 2, 1, 2))"
12120,"(7699, 321, -3235000, (1, 2, 1, 2, 0))"
12021,"(7696, 344, -6240000, (1, 2, 0, 2, 1))"
12102,"(7694, 339, -5600000, (1, 2, 1, 0, 2))"
20121,"(7692, 346, -6520000, (2, 0, 1, 2, 1))"
21021,"(7690, 351, -7180000, (2, 1, 0, 2, 1))"
10221,"(7690, 330, -4450000, (1, 0, 2, 2, 1))"
02112,"(7680, 333, -4890000, (0, 2, 1, 1, 2))"
20211,"(7679, 325, -3855000, (2, 0, 2, 1, 1))"
