combination,balance
24053,110000
22600,110000
32443,110000
22601,110000
04443,110000
15403,110000
24421,110000
42041,110000
32333,110000
03060,110000
30600,110000
14151,110000
16021,110000
10226,110000
15340,110000
15321,110000
51142,110000
41315,110000
20261,110000
01534,110000
04035,110000
34150,110000
34330,110000
05403,110000
21620,110000
43323,110000
50340,110000
05341,110000
22060,110000
02162,110000
12126,110000
54030,110000
21260,110000
01226,110000
02260,110000
20621,110000
22610,105000
20533,105000
16121,105000
51340,105000
26200,105000
14315,105000
15142,105000
30601,105000
54031,105000
52321,105000
03061,105000
53231,105000
40351,105000
25331,105000
42053,105000
12260,105000
42143,105000
15134,105000
35421,105000
35420,105000
03452,105000
10523,105000
02261,105000
34151,105000
26020,105000
12162,105000
15304,105000
22513,105000
30610,105000
34205,105000
22333,105000
41424,105000
22611,105000
50341,105000
00262,105000
23424,105000
12533,105000
21621,105000
03542,105000
22061,105000
34520,105000
11303,105000
05134,105000
11433,105000
13235,105000
35011,105000
14443,105000
02620,105000
52140,105000
13060,105000
21261,105000
53022,105000
02602,105000
40250,105000
11226,105000
22254,105000
11534,105000
53132,105000
04025,105000
12353,100000
00533,100000
02612,100000
50134,100000
20062,100000
51034,100000
40204,100000
11334,100000
21423,100000
13061,100000
00016,100000
50141,100000
12261,100000
30611,100000
34115,100000
01060,100000
25301,100000
25403,100000
10262,100000
03404,100000
15341,100000
21345,100000
05300,100000
40251,100000
13415,100000
26120,100000
34521,100000
34340,100000
51240,100000
30050,100000
50410,100000
20026,100000
13054,100000
10054,100000
12620,100000
33532,100000
12602,100000
26201,100000
21433,100000
51331,100000
53012,100000
10600,100000
32434,100000
02051,100000
31524,100000
05314,100000
51341,100000
01262,100000
05041,100000
21062,95000
41153,95000
44043,95000
01136,95000
52103,95000
41140,95000
00036,95000
50342,95000
00160,95000
15314,95000
31600,95000
52141,95000
10016,95000
21026,95000
00136,95000
01600,95000
26002,95000
01523,95000
03422,95000
40522,95000
02435,95000
26021,95000
44004,95000
44224,95000
41350,95000
02453,95000
01361,95000
03610,95000
41532,95000
06001,95000
04135,95000
13542,95000
20531,95000
35402,95000
51310,95000
24423,95000
12612,95000
20435,95000
11060,95000
32335,95000
01360,95000
00361,95000
51214,95000
34411,95000
25122,95000
53021,95000
04352,95000
42315,95000
20162,95000
11262,95000
22160,95000
35024,95000
20245,95000
11360,95000
11361,95000
20602,95000
01016,95000
00360,95000
03600,95000
52012,95000
16000,95000
36100,95000
10360,95000
10361,95000
14035,95000
00316,95000
10514,95000
03160,95000
36000,95000
01036,95000
13610,95000
24530,95000
24115,95000
13600,95000
11036,90000
05413,90000
13160,90000
54130,90000
15413,90000
10136,90000
22142,90000
54131,90000
10315,90000
10316,90000
03611,90000
22161,90000
06010,90000
03601,90000
10160,90000
11016,90000
13601,90000
21162,90000
11153,90000
10036,90000
12352,90000
11136,90000
20534,90000
04434,90000
13524,90000
20612,90000
12621,90000
13452,90000
13611,90000
51342,90000
30405,90000
24225,90000
00512,90000
51030,90000
43031,90000
26210,90000
43033,90000
32511,90000
26121,90000
24323,90000
36110,90000
00442,90000
24153,90000
40443,90000
25304,90000
25310,90000
03161,90000
32533,90000
01316,90000
00424,90000
36010,90000
41351,90000
44340,90000
23533,90000
34232,90000
34215,90000
02621,90000
31610,90000
31405,90000
00045,90000
31242,90000
31601,90000
00601,90000
50105,90000
24531,90000
30254,90000
51241,90000
34412,90000
42530,85000
51134,85000
11316,85000
05342,85000
11353,85000
41332,85000
44104,85000
51105,85000
41443,85000
25402,85000
00543,85000
22542,85000
35412,85000
35322,85000
34052,85000
42114,85000
42252,85000
53111,85000
35124,85000
05243,85000
43052,85000
35204,85000
35042,85000
34341,85000
21534,85000
51410,85000
43124,85000
22444,85000
42531,85000
25043,85000
36001,85000
42433,85000
04253,85000
05050,85000
32521,85000
50115,85000
13154,85000
23053,85000
01334,85000
14105,85000
36101,85000
14015,85000
01444,85000
31611,85000
50304,85000
13161,85000
23405,85000
26211,85000
20520,85000
26102,85000
05141,85000
10154,85000
14135,85000
44432,85000
00116,85000
50015,85000
50411,85000
44321,85000
30415,85000
50010,85000
26012,85000
52431,85000
01303,85000
31415,85000
52430,85000
20126,85000
34522,80000
12054,80000
02534,80000
32412,80000
16001,80000
15243,80000
11600,80000
15041,80000
04424,80000
14434,80000
15050,80000
25034,80000
14025,80000
12522,80000
50302,80000
21602,80000
02524,80000
51115,80000
21126,80000
44341,80000
12453,80000
02354,80000
12435,80000
01160,80000
43433,80000
25340,80000
05333,80000
43303,80000
25314,80000
21043,80000
01116,80000
32524,80000
04250,80000
02450,80000
43224,80000
25240,80000
02262,80000
04125,80000
05150,80000
12244,80000
44143,80000
53331,80000
53330,80000
51015,80000
25413,80000
14352,80000
23054,80000
10543,80000
23524,80000
22620,80000
23415,80000
51304,80000
10533,80000
06202,80000
23352,80000
10511,80000
41412,80000
10601,80000
42153,80000
35214,80000
10116,80000
40325,80000
22621,80000
52112,80000
52333,80000
41250,80000
24523,80000
11305,80000
03254,80000
10414,80000
36011,80000
36111,80000
00245,80000
00522,80000
12262,75000
12354,75000
23335,75000
20360,75000
20361,75000
10622,75000
41251,75000
21435,75000
35422,75000
43152,75000
12422,75000
32523,75000
04252,75000
41325,75000
25341,75000
01543,75000
12534,75000
10163,75000
52034,75000
52432,75000
03453,75000
02226,75000
00163,75000
26112,75000
12500,75000
52024,75000
05051,75000
21360,75000
21361,75000
42424,75000
24305,75000
21612,75000
16300,75000
24443,75000
01630,75000
25143,75000
11160,75000
25134,75000
15150,75000
34250,75000
22345,75000
34251,75000
06300,75000
30620,75000
16202,75000
35142,75000
15333,75000
34433,75000
30602,75000
15342,75000
16010,75000
00630,75000
30433,75000
34530,75000
06220,75000
00622,75000
03062,75000
10063,75000
02136,75000
11116,75000
63000,75000
11054,75000
40235,75000
00063,75000
02036,75000
01601,75000
04115,75000
31442,75000
03425,75000
23060,70000
41235,70000
30513,70000
13252,70000
36120,70000
52341,70000
52340,70000
05005,70000
05151,70000
30612,70000
40352,70000
52132,70000
50125,70000
13612,70000
30621,70000
20501,70000
13602,70000
20434,70000
52115,70000
06212,70000
15051,70000
50025,70000
14253,70000
01442,70000
01622,70000
31620,70000
50000,70000
52105,70000
16220,70000
31254,70000
50050,70000
15234,70000
